x,y,y'
0.095075239,0.23255814,0.15504397
0.095759234,0.395348837,0.15503249
0.096443228,0.186046512,0.15502098
0.097127223,0.046511628,0.1550095
0.097811218,0.395348837,0.15499797
0.098495212,0.023255814,0.15498647
0.099179207,0.023255814,0.15497494
0.099863201,0.162790698,0.15496342
0.100547196,0.372093023,0.15495187
0.10123119,0.069767442,0.15494034
0.101915185,0.186046512,0.15492879
0.102599179,0.23255814,0.15491723
0.103283174,0.069767442,0.15490566
0.103967168,0.093023256,0.15489408
0.104651163,0.093023256,0.1548825
0.105335157,0.162790698,0.15487093
0.106019152,0.11627907,0.15485933
0.106703146,0.139534884,0.15484773
0.107387141,0.11627907,0.15483612
0.108071135,0.023255814,0.15482451
0.10875513,0.279069767,0.15481289
0.109439124,0.093023256,0.15480125
0.110123119,0.534883721,0.15478961
0.110807114,0.069767442,0.15477797
0.111491108,0.046511628,0.15476632
0.112175103,0.023255814,0.15475467
0.112859097,0.209302326,0.154743
0.113543092,0.325581395,0.15473133
0.114227086,0.23255814,0.15471965
0.114911081,0.023255814,0.15470797
0.115595075,0.069767442,0.15469627
0.11627907,0.23255814,0.15468457
0.116963064,0.11627907,0.15467286
0.117647059,0.23255814,0.15466115
0.118331053,0.139534884,0.15464942
0.119015048,0.046511628,0.1546377
0.119699042,0.046511628,0.15462597
0.120383037,0.186046512,0.15461423
0.121067031,0.139534884,0.15460247
0.121751026,0.23255814,0.15459071
0.122435021,0.069767442,0.15457895
0.123119015,0.093023256,0.15456718
0.12380301,0.023255814,0.1545554
0.124487004,0.511627907,0.15454361
0.125170999,0.325581395,0.15453182
0.125854993,0.11627907,0.15452002
0.126538988,0.186046512,0.1545082
0.127222982,0.162790698,0.1544964
0.127906977,0.279069767,0.15448457
0.128590971,0.069767442,0.15447274
0.129274966,0.069767442,0.1544609
0.12995896,0.395348837,0.15444906
0.130642955,0.093023256,0.15443721
0.131326949,0.069767442,0.15442537
0.132010944,0.069767442,0.15441349
0.132694938,0.093023256,0.15440163
0.133378933,0.11627907,0.15438974
0.134062927,0.093023256,0.15437786
0.134746922,0.209302326,0.15436597
0.135430917,0.093023256,0.15435407
0.136114911,0.069767442,0.15434216
0.136798906,0.093023256,0.15433025
0.1374829,0.23255814,0.15431833
0.138166895,0.209302326,0.1543064
0.138850889,0.279069767,0.15429446
0.139534884,0.046511628,0.15428253
0.140218878,0.093023256,0.15427057
0.140902873,0.023255814,0.15425861
0.141586867,0.395348837,0.15424666
0.142270862,0.418604651,0.15423468
0.142954856,0.186046512,0.1542227
0.143638851,0.023255814,0.15421072
0.144322845,0.23255814,0.15419872
0.14500684,0.023255814,0.15418673
0.145690834,0.093023256,0.15417472
0.146374829,0.093023256,0.1541627
0.147058824,0.023255814,0.1541507
0.147742818,0.209302326,0.15413865
0.148426813,0.186046512,0.15412663
0.149110807,0.186046512,0.15411459
0.149794802,0.627906977,0.15410253
0.150478796,0.534883721,0.15409048
0.151162791,0.186046512,0.15407841
0.151846785,0.093023256,0.15406634
0.15253078,0.162790698,0.15405427
0.153214774,0.279069767,0.15404218
0.153898769,0.209302326,0.1540301
0.154582763,0.186046512,0.154018
0.155266758,0.139534884,0.15400589
0.155950752,0.11627907,0.15399377
0.156634747,0.186046512,0.15398166
0.157318741,0.093023256,0.15396953
0.158002736,0.023255814,0.1539574
0.158686731,0.023255814,0.15394525
0.159370725,0.139534884,0.15393311
0.16005472,0.255813953,0.15392095
0.160738714,0.139534884,0.15390879
0.161422709,0.023255814,0.15389661
0.162106703,0.023255814,0.15388444
0.162790698,0.11627907,0.15387227
0.163474692,0.093023256,0.15386008
0.164158687,0.255813953,0.15384787
0.164842681,0.186046512,0.15383567
0.165526676,0.023255814,0.15382345
0.16621067,0.11627907,0.15381123
0.166894665,0.255813953,0.15379901
0.167578659,0.069767442,0.15378678
0.168262654,0.372093023,0.15377454
0.168946648,0.186046512,0.1537623
0.169630643,0.255813953,0.15375003
0.170314637,0.023255814,0.15373778
0.170998632,0.069767442,0.1537255
0.171682627,0.046511628,0.15371323
0.172366621,0.046511628,0.15370095
0.173050616,0.348837209,0.15368865
0.17373461,0.279069767,0.15367636
0.174418605,0.139534884,0.15366407
0.175102599,0.348837209,0.15365174
0.175786594,0.162790698,0.15363944
0.176470588,0.069767442,0.15362711
0.177154583,0.023255814,0.15361477
0.177838577,0.255813953,0.15360244
0.178522572,0.139534884,0.15359008
0.179206566,0.11627907,0.15357773
0.179890561,0.023255814,0.15356538
0.180574555,0.046511628,0.15355301
0.18125855,0.046511628,0.15354064
0.181942544,0.255813953,0.15352826
0.182626539,0.069767442,0.15351586
